测试套/软件包名,测试用例名,日志文件,原因,Broken testcase,pkg not found,preinstall absent,kernel module absent,file missing,systemd unit restart failure,systemd unit runtime error,systemd unit enable failure,timeout
anaconda,oe_test_service_zram,2023-02-14-01_13_59.log,"file missing
systemd unit restart failure
systemd unit runtime error
",0,0,0,0,1,1,1,0,0
arptables,oe_test_service_arptables,2023-02-14-00_48_14.log,"file missing
systemd unit restart failure
systemd unit runtime error
systemd unit enable failure
",0,0,0,0,1,1,1,1,0
atune,oe_test_service_atuned,2023-02-14-01_10_57.log,"file missing
systemd unit restart failure
systemd unit runtime error
systemd unit enable failure
",0,0,0,0,1,1,1,1,0
audit,oe_test_audit_available_disk_space,2023-02-14-02_57_57.log,"preinstall absent
",0,0,1,0,0,0,0,0,0
audit,oe_test_audit_count_number_of_event,2023-02-14-02_15_03.log,"preinstall absent
",0,0,1,0,0,0,0,0,0
audit,oe_test_audit_count_time,2023-02-14-02_14_27.log,"preinstall absent
",0,0,1,0,0,0,0,0,0
audit,oe_test_audit_event_log,2023-02-14-03_15_48.log,"preinstall absent
",0,0,1,0,0,0,0,0,0
audit,oe_test_audit_fetch_file_in_order,2023-02-14-02_11_05.log,"file missing
",0,0,0,0,1,0,0,0,0
audit,oe_test_audit_max_log_file_ignore,2023-02-14-02_22_10.log,"preinstall absent
",0,0,1,0,0,0,0,0,0
audit,oe_test_audit_max_log_file_keep_logs,2023-02-14-02_54_23.log,"preinstall absent
",0,0,1,0,0,0,0,0,0
audit,oe_test_audit_max_log_file_rotate,2023-02-14-02_19_19.log,"preinstall absent
",0,0,1,0,0,0,0,0,0
audit,oe_test_audit_max_log_file_suspend,2023-02-14-02_50_39.log,"preinstall absent
",0,0,1,0,0,0,0,0,0
audit,oe_test_audit_max_log_file_syslog,2023-02-14-02_46_43.log,"preinstall absent
",0,0,1,0,0,0,0,0,0
audit,oe_test_audit_monitor_dictionary_access,2023-02-14-01_59_20.log,"preinstall absent
",0,0,1,0,0,0,0,0,0
audit,oe_test_audit_monitor_do_command,2023-02-14-02_01_48.log,"preinstall absent
",0,0,1,0,0,0,0,0,0
audit,oe_test_audit_monitor_file_access,2023-02-14-01_28_29.log,"preinstall absent
timeout
",0,0,1,0,0,0,0,0,1
audit,oe_test_audit_monitor_network_visit,2023-02-14-02_03_52.log,"preinstall absent
",0,0,1,0,0,0,0,0,0
audit,oe_test_audit_monitor_system_use,2023-02-14-02_00_37.log,"preinstall absent
",0,0,1,0,0,0,0,0,0
audit,oe_test_audit_other,2023-02-14-03_16_47.log,"preinstall absent
",0,0,1,0,0,0,0,0,0
audit,oe_test_audit_rule_conflict_strategy,2023-02-14-02_09_01.log,"preinstall absent
",0,0,1,0,0,0,0,0,0
audit,oe_test_audit_rule_contact_strategy,2023-02-14-02_07_00.log,"preinstall absent
",0,0,1,0,0,0,0,0,0
audit,oe_test_audit_rule_fetch_from_rule,2023-02-14-02_10_17.log,"preinstall absent
",0,0,1,0,0,0,0,0,0
audit,oe_test_audit_show_event_list,2023-02-14-02_15_45.log,"preinstall absent
",0,0,1,0,0,0,0,0,0
audit,oe_test_audit_track_designated_access,2023-02-14-02_04_48.log,"preinstall absent
",0,0,1,0,0,0,0,0,0
audit,oe_test_audit_user_build_connection,2023-02-14-02_16_23.log,"file missing
",0,0,0,0,1,0,0,0,0
audit,oe_test_audit_use_d_audit,2023-02-14-02_05_32.log,"preinstall absent
",0,0,1,0,0,0,0,0,0
audit,oe_test_audit_use_w_audit,2023-02-14-02_06_03.log,"preinstall absent
",0,0,1,0,0,0,0,0,0
audit,oe_test_inject_time_fault,2023-02-14-03_09_58.log,"preinstall absent
",0,0,1,0,0,0,0,0,0
audit,oe_test_service_auditd,2023-02-14-03_13_58.log,"preinstall absent
",0,0,1,0,0,0,0,0,0
audit,oe_test_start_audit,2023-02-14-03_18_02.log,"preinstall absent
",0,0,1,0,0,0,0,0,0
auter,oe_test_auter,2023-02-14-01_42_37.log,,0,0,0,0,0,0,0,0,0
bind,oe_test_service_named,2023-02-14-03_23_21.log,"file missing
systemd unit restart failure
systemd unit runtime error
systemd unit enable failure
",0,0,0,0,1,1,1,1,0
bind,oe_test_service_named-chroot,2023-02-14-03_10_27.log,"file missing
systemd unit restart failure
systemd unit runtime error
systemd unit enable failure
",0,0,0,0,1,1,1,1,0
bind,oe_test_service_named-chroot-setup,2023-02-14-03_04_02.log,"systemd unit restart failure
systemd unit runtime error
",0,0,0,0,0,1,1,0,0
bluez,oe_test_service_bluetooth,2023-02-14-03_24_41.log,"preinstall absent
systemd unit restart failure
systemd unit runtime error
",0,0,1,0,0,1,1,0,0
bluez,oe_test_service_bluetooth-mesh,2023-02-14-03_23_24.log,"preinstall absent
systemd unit restart failure
systemd unit runtime error
",0,0,1,0,0,1,1,0,0
cachefilesd,oe_test_service_cachefilesd,2023-02-14-03_40_33.log,"file missing
systemd unit restart failure
systemd unit runtime error
systemd unit enable failure
",0,0,0,0,1,1,1,1,0
chrony,oe_test_service_chrony-wait,2023-02-14-03_59_04.log,"preinstall absent
systemd unit restart failure
systemd unit runtime error
",0,0,1,0,0,1,1,0,0
chrony,oe_test_service_chronyd,2023-02-14-03_57_40.log,"preinstall absent
systemd unit restart failure
systemd unit runtime error
",0,0,1,0,0,1,1,0,0
clamav,oe_test_clamav_clamdtop,2023-02-14-04_51_36.log,,0,0,0,0,0,0,0,0,0
clamav,oe_test_clamav_clamonacc,2023-02-14-05_00_49.log,"file missing
timeout
",0,0,0,0,1,0,0,0,1
clamav,oe_test_clamav_clamscan_1,2023-02-14-05_11_11.log,"file missing
timeout
",0,0,0,0,1,0,0,0,1
clamav,oe_test_clamav_clamscan_2,2023-02-14-05_41_40.log,"file missing
timeout
",0,0,0,0,1,0,0,0,1
clamav,oe_test_clamav_clamscan_3,2023-02-14-05_50_44.log,"timeout
",0,0,0,0,0,0,0,0,1
clamav,oe_test_clamav_sigtool_2,2023-02-14-06_46_45.log,"file missing
",0,0,0,0,1,0,0,0,0
clamav,oe_test_service_clamav-clamonacc,2023-02-14-04_03_57.log,"file missing
systemd unit restart failure
systemd unit runtime error
systemd unit enable failure
",0,0,0,0,1,1,1,1,0
cmake,oe_test_ccmake,2023-02-14-06_19_32.log,"timeout
",0,0,0,0,0,0,0,0,1
cmake,oe_test_ccmake3,2023-02-14-06_23_55.log,"timeout
",0,0,0,0,0,0,0,0,1
cobbler,oe_test_cobbler_distro,2023-02-14-06_53_01.log,,0,0,0,0,0,0,0,0,0
cobbler,oe_test_cobbler_file,2023-02-14-07_59_34.log,,0,0,0,0,0,0,0,0,0
cobbler,oe_test_cobbler_image,2023-02-14-07_32_33.log,,0,0,0,0,0,0,0,0,0
cobbler,oe_test_cobbler_mgmtclass,2023-02-14-07_41_43.log,,0,0,0,0,0,0,0,0,0
cobbler,oe_test_cobbler_other,2023-02-14-08_09_20.log,,0,0,0,0,0,0,0,0,0
cobbler,oe_test_cobbler_package,2023-02-14-07_50_01.log,,0,0,0,0,0,0,0,0,0
cobbler,oe_test_cobbler_profile,2023-02-14-07_02_45.log,,0,0,0,0,0,0,0,0,0
cobbler,oe_test_cobbler_repo,2023-02-14-07_23_51.log,,0,0,0,0,0,0,0,0,0
cobbler,oe_test_cobbler_system,2023-02-14-07_12_23.log,,0,0,0,0,0,0,0,0,0
conntrack-tools,oe_test_service_conntrackd,2023-02-14-08_18_59.log,"file missing
systemd unit restart failure
systemd unit runtime error
systemd unit enable failure
",0,0,0,0,1,1,1,1,0
container-exception-logger,oe_test_container-exception-logger,2023-02-14-08_23_39.log,"file missing
",0,0,0,0,1,0,0,0,0
crontabs,oe_test_crontabs,2023-02-02-02_11_28.log,,0,0,0,0,0,0,0,0,0
cryptsetup,oe_test_encrypt_data,2023-02-14-08_33_45.log,"file missing
",0,0,0,0,1,0,0,0,0
cryptsetup,oe_test_luks_encrypted,2023-02-14-08_36_52.log,"file missing
timeout
",0,0,0,0,1,0,0,0,1
cryptsetup,oe_test_use_luks,2023-02-14-08_43_05.log,"file missing
",0,0,0,0,1,0,0,0,0
cups,oe_test_socket_cups-lpd,2023-02-14-08_43_12.log,"file missing
",0,0,0,0,1,0,0,0,0
dbxtool,oe_test_service_dbxtool,2023-02-14-09_06_59.log,"file missing
systemd unit restart failure
systemd unit runtime error
systemd unit enable failure
",0,0,0,0,1,1,1,1,0
dejagnu,oe_test_dejagnu_runtest_01,2023-02-14-09_10_49.log,"file missing
",0,0,0,0,1,0,0,0,0
dejagnu,oe_test_dejagnu_runtest_02,2023-02-14-09_22_12.log,,0,0,0,0,0,0,0,0,0
derby,oe_test_service_derby,2023-02-14-09_14_42.log,"file missing
systemd unit restart failure
systemd unit runtime error
systemd unit enable failure
",0,0,0,0,1,1,1,1,0
dhcp,oe_test_service_dhcpd,2023-02-14-09_24_42.log,"preinstall absent
systemd unit restart failure
systemd unit runtime error
",0,0,1,0,0,1,1,0,0
dhcp,oe_test_service_dhcpd6,2023-02-14-09_23_18.log,"preinstall absent
systemd unit restart failure
systemd unit runtime error
",0,0,1,0,0,1,1,0,0
dhcp,oe_test_service_dhcrelay,2023-02-14-09_26_02.log,"preinstall absent
systemd unit restart failure
systemd unit runtime error
",0,0,1,0,0,1,1,0,0
dnf,oe_test_dnf_list_mark,2023-02-02-13_00_04.log,"timeout
",0,0,0,0,0,0,0,0,1
dnf,oe_test_dnf_repeat-upgrade-downgrade,2023-02-02-13_21_59.log,"timeout
",0,0,0,0,0,0,0,0,1
dnssec-trigger,oe_test_service_dnssec-triggerd,2023-02-14-10_04_59.log,"file missing
systemd unit restart failure
systemd unit runtime error
systemd unit enable failure
",0,0,0,0,1,1,1,1,0
dracut,oe_test_service_dracut-shutdown,2023-02-14-10_28_49.log,"preinstall absent
systemd unit restart failure
systemd unit runtime error
",0,0,1,0,0,1,1,0,0
easymock,oe_test_easymock_spring,2023-02-14-11_14_25.log,"pkg not found
",0,1,0,0,0,0,0,0,0
ebtables,oe_test_service_ebtables,2023-02-14-10_44_58.log,"preinstall absent
systemd unit restart failure
systemd unit runtime error
",0,0,1,0,0,1,1,0,0
edac-utils,oe_test_service_edac,2023-02-14-10_50_16.log,"file missing
systemd unit restart failure
systemd unit runtime error
systemd unit enable failure
",0,0,0,0,1,1,1,1,0
etcd,oe_test_etcd_05,2023-02-14-11_27_55.log,"systemd unit restart failure
",0,0,0,0,0,1,0,0,0
fcoe-utils,oe_test_service_fcoe,2023-02-14-11_56_56.log,"file missing
systemd unit restart failure
systemd unit runtime error
systemd unit enable failure
",0,0,0,0,1,1,1,1,0
freeipmi,oe_test_service_bmc-watchdog,2023-02-14-19_04_32.log,"file missing
systemd unit restart failure
systemd unit runtime error
systemd unit enable failure
",0,0,0,0,1,1,1,1,0
freeipmi,oe_test_service_ipmidetectd,2023-02-14-19_08_53.log,"file missing
systemd unit restart failure
systemd unit runtime error
systemd unit enable failure
",0,0,0,0,1,1,1,1,0
freeipmi,oe_test_service_ipmiseld,2023-02-14-19_12_51.log,"file missing
systemd unit restart failure
systemd unit runtime error
systemd unit enable failure
",0,0,0,0,1,1,1,1,0
freeradius,oe_test_freeradius_freeradius-utils_radclient2,2023-02-14-20_26_35.log,,0,0,0,0,0,0,0,0,0
freeradius,oe_test_freeradius_freeradius-utils_radeapclient,2023-02-14-20_50_14.log,"timeout
",0,0,0,0,0,0,0,0,1
freeradius,oe_test_freeradius_freeradius-utils_radlast,2023-02-14-20_59_21.log,,0,0,0,0,0,0,0,0,0
freeradius,oe_test_freeradius_freeradius-utils_radsniff,2023-02-14-21_23_26.log,"timeout
",0,0,0,0,0,0,0,0,1
freeradius,oe_test_freeradius_freeradius-utils_radsniff2,2023-02-14-21_53_42.log,"file missing
timeout
",0,0,0,0,1,0,0,0,1
freeradius,oe_test_freeradius_freeradius-utils_radtestAndRadwho,2023-02-14-22_01_00.log,"file missing
",0,0,0,0,1,0,0,0,0
freeradius,oe_test_freeradius_freeradius-utils_radwho,2023-02-14-22_04_15.log,"file missing
",0,0,0,0,1,0,0,0,0
freeradius,oe_test_freeradius_freeradius-utils_radzap,2023-02-14-22_05_48.log,"file missing
",0,0,0,0,1,0,0,0,0
freeradius,oe_test_freeradius_freeradius-utils_rlm_ippool_toolAndSmbencrypt,2023-02-14-22_07_52.log,"file missing
",0,0,0,0,1,0,0,0,0
freeradius,oe_test_freeradius_freeradius_raddebugAndCheckrad,2023-02-14-19_11_00.log,,0,0,0,0,0,0,0,0,0
freeradius,oe_test_service_radiusd,2023-02-14-22_09_08.log,"file missing
systemd unit restart failure
systemd unit runtime error
systemd unit enable failure
",0,0,0,0,1,1,1,1,0
fwupd,oe_test_service_fwupd,2023-02-14-19_22_47.log,"file missing
systemd unit restart failure
systemd unit runtime error
",0,0,0,0,1,1,1,0,0
ganglia,oe_test_service_gmetad,2023-02-14-19_48_53.log,"file missing
systemd unit restart failure
systemd unit runtime error
systemd unit enable failure
",0,0,0,0,1,1,1,1,0
glusterfs,oe_test_service_gluster-ta-volume,2023-02-14-21_35_07.log,"file missing
systemd unit restart failure
systemd unit runtime error
",0,0,0,0,1,1,1,0,0
glusterfs,oe_test_service_glusterd,2023-02-14-21_20_44.log,"file missing
systemd unit restart failure
systemd unit runtime error
",0,0,0,0,1,1,1,0,0
glusterfs,oe_test_service_glustereventsd,2023-02-14-21_25_41.log,"file missing
systemd unit restart failure
systemd unit runtime error
",0,0,0,0,1,1,1,0,0
glusterfs,oe_test_service_glusterfsd,2023-02-14-21_29_36.log,"file missing
systemd unit restart failure
systemd unit runtime error
",0,0,0,0,1,1,1,0,0
glusterfs,oe_test_service_glusterfssharedstorage,2023-02-14-21_32_25.log,"file missing
systemd unit restart failure
systemd unit runtime error
",0,0,0,0,1,1,1,0,0
gradle,oe_test_gradle_01,2023-02-14-22_03_03.log,"timeout
",0,0,0,0,0,0,0,0,1
gradle,oe_test_gradle_02,2023-02-14-22_33_31.log,"file missing
",0,0,0,0,1,0,0,0,0
gradle,oe_test_gradle_03,2023-02-14-22_39_45.log,"timeout
",0,0,0,0,0,0,0,0,1
gradle,oe_test_gradle_04,2023-02-14-23_10_28.log,"file missing
",0,0,0,0,1,0,0,0,0
groovy,oe_test_groovy_02,2023-02-14-22_29_07.log,"file missing
",0,0,0,0,1,0,0,0,0
hostname,oe_test_service_nis-domainname,2023-02-02-02_22_20.log,"preinstall absent
systemd unit restart failure
systemd unit runtime error
systemd unit enable failure
",0,0,1,0,0,1,1,1,0
iftop,oe_test_iftop_gui,2023-02-14-23_39_56.log,"file missing
",0,0,0,0,1,0,0,0,0
initscripts,oe_test_service_import-state,2023-02-14-23_51_43.log,"preinstall absent
systemd unit restart failure
systemd unit runtime error
",0,0,1,0,0,1,1,0,0
initscripts,oe_test_service_loadmodules,2023-02-14-23_53_09.log,"preinstall absent
systemd unit restart failure
systemd unit runtime error
",0,0,1,0,0,1,1,0,0
initscripts,oe_test_service_netconsole,2023-02-15-00_00_21.log,"file missing
systemd unit restart failure
systemd unit runtime error
systemd unit enable failure
",0,0,0,0,1,1,1,1,0
ipmitool,oe_test_service_bmc-snmp-proxy,2023-02-15-00_06_44.log,"file missing
systemd unit restart failure
systemd unit runtime error
",0,0,0,0,1,1,1,0,0
ipmitool,oe_test_service_exchange-bmc-os-info,2023-02-15-00_10_07.log,"file missing
systemd unit restart failure
systemd unit runtime error
",0,0,0,0,1,1,1,0,0
ipmitool,oe_test_service_ipmievd,2023-02-15-00_13_59.log,"kernel module absent
file missing
systemd unit restart failure
systemd unit runtime error
systemd unit enable failure
",0,0,0,1,1,1,1,1,0
iprutils,oe_test_service_iprdump,2023-02-15-00_12_07.log,"preinstall absent
systemd unit restart failure
systemd unit runtime error
",0,0,1,0,0,1,1,0,0
iprutils,oe_test_service_iprinit,2023-02-15-00_13_26.log,"preinstall absent
systemd unit restart failure
systemd unit runtime error
",0,0,1,0,0,1,1,0,0
iprutils,oe_test_service_iprupdate,2023-02-15-00_14_44.log,"preinstall absent
systemd unit restart failure
systemd unit runtime error
",0,0,1,0,0,1,1,0,0
iprutils,oe_test_target_iprutils,2023-02-15-00_15_55.log,"preinstall absent
",0,0,1,0,0,0,0,0,0
ipset,oe_test_service_ipset,2023-02-15-00_21_44.log,"preinstall absent
systemd unit restart failure
systemd unit runtime error
",0,0,1,0,0,1,1,0,0
iptables,oe_test_service_ip6tables,2023-02-15-00_21_48.log,"preinstall absent
systemd unit restart failure
systemd unit runtime error
",0,0,1,0,0,1,1,0,0
iptables,oe_test_service_iptables,2023-02-15-00_23_37.log,"preinstall absent
systemd unit restart failure
systemd unit runtime error
",0,0,1,0,0,1,1,0,0
iputils,oe_test_service_ninfod,2023-02-02-02_24_02.log,"preinstall absent
systemd unit restart failure
systemd unit runtime error
",0,0,1,0,0,1,1,0,0
irqbalance,oe_test_service_irqbalance,2023-02-15-00_30_09.log,"preinstall absent
systemd unit restart failure
systemd unit runtime error
",0,0,1,0,0,1,1,0,0
java-1.8.0-openjdk,oe_test_openjdk_appletviewer_clhsdb,2023-02-15-00_35_54.log,,0,0,0,0,0,0,0,0,0
java-1.8.0-openjdk,oe_test_openjdk_jdb_jdeps,2023-02-15-01_57_52.log,"file missing
",0,0,0,0,1,0,0,0,0
javapackages-tools,oe_test_gradle-local,2023-02-15-01_13_24.log,"timeout
",0,0,0,0,0,0,0,0,1
jetty,oe_test_jetty_start,2023-02-15-01_58_21.log,,0,0,0,0,0,0,0,0,0
junit5,oe_test_junit5_gradle,2023-02-15-03_46_23.log,"timeout
",0,0,0,0,0,0,0,0,1
junit5,oe_test_junit5_junit4,2023-02-15-04_16_56.log,"file missing
",0,0,0,0,1,0,0,0,0
junit5,oe_test_junit5_kotlin_maven,2023-02-15-04_24_20.log,"timeout
",0,0,0,0,0,0,0,0,1
junit5,oe_test_junit5_maven,2023-02-15-04_54_51.log,"file missing
",0,0,0,0,1,0,0,0,0
junit5,oe_test_junit5_spring_maven,2023-02-15-05_21_40.log,"pkg not found
timeout
",0,1,0,0,0,0,0,0,1
jython,oe_test_jython_02,2023-02-15-04_31_05.log,"timeout
",0,0,0,0,0,0,0,0,1
jython,oe_test_jython_03,2023-02-15-05_01_38.log,,0,0,0,0,0,0,0,0,0
keepalived,oe_test_service_keepalived,2023-02-15-05_25_40.log,"file missing
systemd unit restart failure
systemd unit runtime error
systemd unit enable failure
",0,0,0,0,1,1,1,1,0
