测试套/软件包名,测试用例总数,通过,未通过,备注,总测试套数,总测试用例数,总通过用例数,总未通过用例数
389-ds-base,2,2,0,,323,1484,1067,417
abrt,7,7,0
accountsservice,1,1,0
acl,8,8,0
acpid,5,5,0
alsa-utils,2,2,0
amanda,4,4,0
anaconda,9,8,1
arptables,1,0,1
arpwatch,1,1,0
at,1,1,0
attr,1,1,0
atune,2,1,1
audit,28,1,27
auter,1,0,1
authd,1,1,0
authz,1,1,0
autoconf213,10,10,0
avahi,3,3,0
bcrypt,1,1,0
bind,4,1,3
bluez,2,0,2
bolt,1,1,0
brltty,1,1,0
byacc,4,4,0
cachefilesd,1,0,1
ceph,9,9,0
cgdcbxd,1,1,0
chrony,2,0,2
clamav,16,9,7
clang,3,3,0
cloud-init,6,6,0
cmake,8,6,2
cobbler,9,0,9
cockpit,3,3,0
colm,1,1,0
colord,1,1,0
conntrack-tools,1,0,1
container-exception-logger,1,0,1
cpio,1,1,0
cppcheck,2,2,0
cracklib,1,1,0
cronie,2,2,0
crontabs,1,0,1
cryptsetup,3,0,3
cups,3,2,1
cups-filters,1,1,0
cvs,2,2,0
cyrus-sasl,1,1,0
dbus,2,2,0
dbxtool,1,0,1
dejagnu,3,1,2
derby,1,0,1
dhcp,5,2,3
digest-list-tools,1,1,0
discount,5,5,0
djvulibre,5,5,0
dkms,1,1,0
dnf,22,20,2
dnsmasq,1,1,0
dnssec-trigger,2,1,1
docker-engine,1,1,0
dos2unix,1,1,0
dovecot,7,7,0
doxygen,1,1,0
dracut,8,7,1
e2fsprogs,2,2,0
easymock,12,11,1
ebtables,1,0,1
edac-utils,1,0,1
erlang,2,2,0
etcd,6,5,1
fcgi,1,1,0
fcoe-utils,1,0,1
firebird,1,1,0
flatpak,1,1,0
fprintd,1,1,0
freeipmi,3,0,3
freeradius,18,7,11
fwupd,2,1,1
galera,2,2,0
ganglia,2,1,1
gdm,1,1,0
gegl04,2,2,0
geoclue2,1,1,0
geos,1,1,0
git,1,1,0
glibc,2,2,0
glusterfs,5,0,5
gnome-shell,1,1,0
gpm,1,1,0
gradle,4,0,4
groovy,2,1,1
gssproxy,1,1,0
haproxy,1,1,0
haveged,1,1,0
help2man,1,1,0
hostname,1,0,1
hsqldb,1,1,0
htop,2,2,0
httpd,4,4,0
iftop,1,0,1
ImageMagick,8,8,0
initial-setup,1,1,0
initscripts,5,2,3
ipmitool,3,0,3
iprutils,4,0,4
ipset,1,0,1
iptables,2,0,2
iputils,2,1,1
ipwatchd,1,1,0
irqbalance,1,0,1
isula-build,1,1,0
iSulad,1,1,0
java-1.8.0-openjdk,10,8,2
javapackages-tools,6,5,1
jemalloc,2,2,0
jetty,2,1,1
jq,1,1,0
junit5,13,8,5
jython,3,1,2
keepalived,1,0,1
kernel,4,2,2
kexec-tools,1,0,1
keyutils,2,1,1
kf5-kconfig-core,1,1,0
kmod,7,2,5
krb5,3,3,0
ksh,1,1,0
ladspa,2,0,2
libcanberra,3,3,0
libcap,9,9,0
libcgroup,1,1,0
libmemcached,12,12,0
libosinfo,3,3,0
libpng12,1,1,0
libstoragemgmt,1,1,0
libvma,1,1,0
libwbxml,2,2,0
libzip,3,3,0
lighttpd,1,0,1
linuxptp,2,0,2
lldpad,2,1,1
lm_sensors,3,1,2
logwatch,1,0,1
